上市编号,上市公司名,违纪类型,红头文件
600252,中恒集团,监管工作函,NO SUCH FILE!
688577,浙海德曼,监管工作函,NO SUCH FILE!
600478,科力远,监管工作函,NO SUCH FILE!
600248,陕西建工,监管工作函,NO SUCH FILE!
600220,江苏阳光,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/9bc392cc-668f-4ee8-8f6c-61885b61d50d.pdf
603887,城地香江,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/7d8d2581-af24-41e2-a950-9e563b4e419e.pdf
600146,*ST环球,监管工作函,NO SUCH FILE!
600590,泰豪科技,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/fb869489-a5fb-40ac-97a0-2ccf9bf41b8f.pdf
600532,未来股份,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/08148971-a050-4ad0-9d47-33d39a069e11.pdf
600532,未来股份,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/08148971-a050-4ad0-9d47-33d39a069e11.pdf
600199,金种子酒,监管工作函,NO SUCH FILE!
688010,福光股份,监管工作函,NO SUCH FILE!
688513,苑东生物,监管工作函,NO SUCH FILE!
600540,新赛股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/0694c2ff-d44c-43d7-913b-a93f2822d7bb.pdf
600872,中炬高新,监管工作函,NO SUCH FILE!
603778,乾景园林,监管工作函,NO SUCH FILE!
603608,天创时尚,监管工作函,NO SUCH FILE!
601101,昊华能源,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/efe952cc-0bde-44d4-a725-2d04689a2df4.pdf
601101,昊华能源,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/a79c9acc-41cf-4ad0-9b88-2b842ac7b9b7.pdf
600321,正源股份,监管工作函,NO SUCH FILE!
